Punto,Fecha,Métrica,Instalaciones en dispositivos activos,Notas
2017-01-04 - 2019-02-18,2017-12-30,,6780
2017-01-04 - 2019-02-18,2017-12-31,,6794
2017-01-04 - 2019-02-18,2018-01-01,,6801
2017-01-04 - 2019-02-18,2018-01-02,,6868
2017-01-04 - 2019-02-18,2018-01-03,,6915
2017-01-04 - 2019-02-18,2018-01-04,,6965
2017-01-04 - 2019-02-18,2018-01-05,,6963
2017-01-04 - 2019-02-18,2018-01-06,,6990
2017-01-04 - 2019-02-18,2018-01-07,,7001
2017-01-04 - 2019-02-18,2018-01-08,,7031
2017-01-04 - 2019-02-18,2018-01-09,,7047
2017-01-04 - 2019-02-18,2018-01-10,,7075
2017-01-04 - 2019-02-18,2018-01-11,,7092
2017-01-04 - 2019-02-18,2018-01-12,,7109
2017-01-04 - 2019-02-18,2018-01-13,,7116
2017-01-04 - 2019-02-18,2018-01-14,,7132
2017-01-04 - 2019-02-18,2018-01-15,,7144
2017-01-04 - 2019-02-18,2018-01-16,,7171
2017-01-04 - 2019-02-18,2018-01-17,,7210
2017-01-04 - 2019-02-18,2018-01-18,,7232
2017-01-04 - 2019-02-18,2018-01-19,,7229
2017-01-04 - 2019-02-18,2018-01-20,,7225
2017-01-04 - 2019-02-18,2018-01-21,,7221
2017-01-04 - 2019-02-18,2018-01-22,,7252
2017-01-04 - 2019-02-18,2018-01-23,,7275
2017-01-04 - 2019-02-18,2018-01-24,,7294
2017-01-04 - 2019-02-18,2018-01-25,,7294
2017-01-04 - 2019-02-18,2018-01-26,,7306
2017-01-04 - 2019-02-18,2018-01-27,,7316
2017-01-04 - 2019-02-18,2018-01-28,,7310
2017-01-04 - 2019-02-18,2018-01-29,,7330
2017-01-04 - 2019-02-18,2018-01-30,,7351
2017-01-04 - 2019-02-18,2018-01-31,,7365
2017-01-04 - 2019-02-18,2018-02-01,,7399
2017-01-04 - 2019-02-18,2018-02-02,,7411
2017-01-04 - 2019-02-18,2018-02-03,,7415
2017-01-04 - 2019-02-18,2018-02-04,,7428
2017-01-04 - 2019-02-18,2018-02-05,,7444
2017-01-04 - 2019-02-18,2018-02-06,,7486
2017-01-04 - 2019-02-18,2018-02-07,,7511
2017-01-04 - 2019-02-18,2018-02-08,,7543
2017-01-04 - 2019-02-18,2018-02-09,,7572
2017-01-04 - 2019-02-18,2018-02-10,,7592
2017-01-04 - 2019-02-18,2018-02-11,,7597
2017-01-04 - 2019-02-18,2018-02-12,,7614
2017-01-04 - 2019-02-18,2018-02-13,,7620
2017-01-04 - 2019-02-18,2018-02-14,,7622
2017-01-04 - 2019-02-18,2018-02-15,,7638
2017-01-04 - 2019-02-18,2018-02-16,,7642
2017-01-04 - 2019-02-18,2018-02-17,,7649
2017-01-04 - 2019-02-18,2018-02-18,,7664
2017-01-04 - 2019-02-18,2018-02-19,,7668
2017-01-04 - 2019-02-18,2018-02-20,,7690
2017-01-04 - 2019-02-18,2018-02-21,,7703
2017-01-04 - 2019-02-18,2018-02-22,,7715
2017-01-04 - 2019-02-18,2018-02-23,,7726
2017-01-04 - 2019-02-18,2018-02-24,,7739
2017-01-04 - 2019-02-18,2018-02-25,,7749
2017-01-04 - 2019-02-18,2018-02-26,,7777,Rollout of release - Started rollout of 1.4.1 at 100%
2017-01-04 - 2019-02-18,2018-02-27,,7796
2017-01-04 - 2019-02-18,2018-02-28,,7818
2017-01-04 - 2019-02-18,2018-03-01,,7840
2017-01-04 - 2019-02-18,2018-03-02,,7864
2017-01-04 - 2019-02-18,2018-03-03,,7886
2017-01-04 - 2019-02-18,2018-03-04,,7900
2017-01-04 - 2019-02-18,2018-03-05,,7951
2017-01-04 - 2019-02-18,2018-03-06,,7983
2017-01-04 - 2019-02-18,2018-03-07,,8007
2017-01-04 - 2019-02-18,2018-03-08,,8023
2017-01-04 - 2019-02-18,2018-03-09,,8033
2017-01-04 - 2019-02-18,2018-03-10,,8031
2017-01-04 - 2019-02-18,2018-03-11,,8029
2017-01-04 - 2019-02-18,2018-03-12,,8046
2017-01-04 - 2019-02-18,2018-03-13,,8055
2017-01-04 - 2019-02-18,2018-03-14,,8092
2017-01-04 - 2019-02-18,2018-03-15,,8103
2017-01-04 - 2019-02-18,2018-03-16,,8122
2017-01-04 - 2019-02-18,2018-03-17,,8132
2017-01-04 - 2019-02-18,2018-03-18,,8118
2017-01-04 - 2019-02-18,2018-03-19,,8133
2017-01-04 - 2019-02-18,2018-03-20,,8141
2017-01-04 - 2019-02-18,2018-03-21,,8171
2017-01-04 - 2019-02-18,2018-03-22,,8212
2017-01-04 - 2019-02-18,2018-03-23,,8210
2017-01-04 - 2019-02-18,2018-03-24,,8205
2017-01-04 - 2019-02-18,2018-03-25,,8204
2017-01-04 - 2019-02-18,2018-03-26,,8240
2017-01-04 - 2019-02-18,2018-03-27,,8265
2017-01-04 - 2019-02-18,2018-03-28,,8264
2017-01-04 - 2019-02-18,2018-03-29,,8249
2017-01-04 - 2019-02-18,2018-03-30,,8246
2017-01-04 - 2019-02-18,2018-03-31,,8239
2017-01-04 - 2019-02-18,2018-04-01,,8261
2017-01-04 - 2019-02-18,2018-04-02,,8320
2017-01-04 - 2019-02-18,2018-04-03,,8348
2017-01-04 - 2019-02-18,2018-04-04,,8387
2017-01-04 - 2019-02-18,2018-04-05,,8408
2017-01-04 - 2019-02-18,2018-04-06,,8419
2017-01-04 - 2019-02-18,2018-04-07,,8413
2017-01-04 - 2019-02-18,2018-04-08,,8421
2017-01-04 - 2019-02-18,2018-04-09,,8453
2017-01-04 - 2019-02-18,2018-04-10,,8480
2017-01-04 - 2019-02-18,2018-04-11,,8512
2017-01-04 - 2019-02-18,2018-04-12,,8525
2017-01-04 - 2019-02-18,2018-04-13,,8543
2017-01-04 - 2019-02-18,2018-04-14,,8538
2017-01-04 - 2019-02-18,2018-04-15,,8545
2017-01-04 - 2019-02-18,2018-04-16,,8576
2017-01-04 - 2019-02-18,2018-04-17,,8587
2017-01-04 - 2019-02-18,2018-04-18,,8629
2017-01-04 - 2019-02-18,2018-04-19,,8639
2017-01-04 - 2019-02-18,2018-04-20,,8641
2017-01-04 - 2019-02-18,2018-04-21,,8643
2017-01-04 - 2019-02-18,2018-04-22,,8636
2017-01-04 - 2019-02-18,2018-04-23,,8640
2017-01-04 - 2019-02-18,2018-04-24,,8668
2017-01-04 - 2019-02-18,2018-04-25,,8679
2017-01-04 - 2019-02-18,2018-04-26,,8695
2017-01-04 - 2019-02-18,2018-04-27,,8685
2017-01-04 - 2019-02-18,2018-04-28,,8679
2017-01-04 - 2019-02-18,2018-04-29,,8681
2017-01-04 - 2019-02-18,2018-04-30,,8698
2017-01-04 - 2019-02-18,2018-05-01,,8712
2017-01-04 - 2019-02-18,2018-05-02,,8748
2017-01-04 - 2019-02-18,2018-05-03,,8778
2017-01-04 - 2019-02-18,2018-05-04,,8800
2017-01-04 - 2019-02-18,2018-05-05,,8786
2017-01-04 - 2019-02-18,2018-05-06,,8802
2017-01-04 - 2019-02-18,2018-05-07,,8813
2017-01-04 - 2019-02-18,2018-05-08,,8827
2017-01-04 - 2019-02-18,2018-05-09,,8846
2017-01-04 - 2019-02-18,2018-05-10,,8871
2017-01-04 - 2019-02-18,2018-05-11,,8867
2017-01-04 - 2019-02-18,2018-05-12,,8862
2017-01-04 - 2019-02-18,2018-05-13,,8846
2017-01-04 - 2019-02-18,2018-05-14,,8847
2017-01-04 - 2019-02-18,2018-05-15,,8870
2017-01-04 - 2019-02-18,2018-05-16,,8895
